age,male,female,lnmale,lnfemale
0,0.006519,0.005377,-5.033034289,-5.225624681
1,0.000462,0.000379,-7.679945667,-7.877974353
2,0.000291,0.000221,-8.142187291,-8.417347856
3,0.000209,0.000162,-8.473176306,-8.727914223
4,0.000176,0.000133,-8.645026563,-8.92516143
5,0.000159,0.000119,-8.746606356,-9.036387065
6,0.000146,0.000109,-8.831903936,-9.124162676
7,0.000133,0.000101,-8.92516143,-9.200390041
8,0.000118,0.000096,-9.044825933,-9.251162366
9,0.000102,0.000093,-9.190537745,-9.282911065
10,0.000091,0.000094,-9.304651051,-9.272215776
11,0.000096,0.0001,-9.251162366,-9.210340372
12,0.000128,0.000112,-8.963480294,-9.097011687
13,0.000195,0.000134,-8.542510999,-8.917670758
14,0.000288,0.000162,-8.152550078,-8.727914223
15,0.000389,0.000194,-7.851931214,-8.547652399
16,0.000492,0.000226,-7.617031841,-8.394975559
17,0.000607,0.000261,-7.406981767,-8.250990151
18,0.000735,0.000297,-7.215640059,-8.121778419
19,0.000869,0.000334,-7.048167433,-8.004369565
20,0.001011,0.000373,-6.896815339,-7.893932138
21,0.001145,0.000412,-6.772350642,-7.794487209
22,0.001246,0.000446,-6.687816859,-7.715191606
23,0.001301,0.000472,-6.644622079,-7.658531572
24,0.001321,0.000493,-6.629366253,-7.615001384
25,0.00133,0.000513,-6.622576337,-7.575234713
26,0.001345,0.000537,-6.611361266,-7.529512463
27,0.001363,0.000563,-6.598067126,-7.48223093
28,0.001391,0.000593,-6.577732366,-7.430316159
29,0.001427,0.000627,-6.55218094,-7.374564017
30,0.001467,0.000664,-6.52453578,-7.317228408
31,0.001505,0.000705,-6.498962381,-7.257312755
32,0.001541,0.000748,-6.475323723,-7.19810758
33,0.001573,0.000794,-6.454770655,-7.138427097
34,0.001606,0.000845,-6.434008663,-7.076173931
35,0.001648,0.000903,-6.408192847,-7.009788005
36,0.001704,0.000968,-6.374776851,-6.940278471
37,0.001774,0.001038,-6.334518395,-6.870459494
38,0.001861,0.001113,-6.286641301,-6.800696207
39,0.001967,0.001196,-6.23124574,-6.728772623
40,0.002092,0.001287,-6.169634733,-6.65544135
41,0.00224,0.001393,-6.101279413,-6.576295584
42,0.002418,0.001517,-6.024814527,-6.491020579
43,0.002629,0.001662,-5.941151733,-6.399733583
44,0.002873,0.001827,-5.852398499,-6.305080002
45,0.003146,0.002005,-5.761623474,-6.212111218
46,0.003447,0.002198,-5.670250991,-6.120207423
47,0.003787,0.002412,-5.57618113,-6.027299
48,0.004167,0.002648,-5.480558927,-5.933950641
49,0.004586,0.002904,-5.384747095,-5.841666182
50,0.005038,0.003182,-5.290746101,-5.750245349
51,0.00552,0.003473,-5.199377419,-5.662736505
52,0.006036,0.003767,-5.110013738,-5.58147635
53,0.006587,0.004058,-5.022657269,-5.507065038
54,0.00717,0.004352,-4.937849624,-5.437119769
55,0.007801,0.004681,-4.853503348,-5.364243517
56,0.008466,0.00504,-4.771697137,-5.290349197
57,0.009133,0.0054,-4.695861051,-5.221356325
58,0.009792,0.005756,-4.626189553,-5.15751249
59,0.010462,0.006128,-4.560005634,-5.094886847
60,0.011197,0.006545,-4.492109394,-5.02905388
61,0.012009,0.007034,-4.42209891,-4.956999745
62,0.012867,0.007607,-4.353089385,-4.878686403
63,0.013772,0.008281,-4.285117734,-4.793791545
64,0.014749,0.009057,-4.216579995,-4.70421734
65,0.015852,0.009953,-4.144459604,-4.609881266
66,0.017097,0.01095,-4.068852269,-4.514415823
67,0.018463,0.01201,-3.99198655,-4.422015643
68,0.019959,0.013124,-3.91407511,-4.333312664
69,0.021616,0.01433,-3.834321498,-4.245400037
70,0.023528,0.015728,-3.749564078,-4.152312716
71,0.025693,0.017338,-3.661536698,-4.054854655
72,0.028041,0.019108,-3.574087554,-3.957648183
73,0.030567,0.021041,-3.487834283,-3.861282364
74,0.033347,0.023191,-3.400787466,-3.763991007
75,0.036572,0.025713,-3.308472359,-3.660758578
76,0.040276,0.028609,-3.211999521,-3.554033925
77,0.044348,0.03176,-3.115687667,-3.449547643
78,0.048797,0.035157,-3.020086443,-3.347931534
79,0.053739,0.03892,-2.923616284,-3.246247022
80,0.059403,0.043289,-2.823410549,-3.139856718
81,0.065873,0.048356,-2.720026633,-3.02916497
82,0.073082,0.054041,-2.616173181,-2.918012261
83,0.08107,0.060384,-2.5124423,-2.80703111
84,0.089947,0.067498,-2.408534671,-2.695657311
85,0.099842,0.075516,-2.304166343,-2.583410725
86,0.110863,0.084556,-2.199460074,-2.470341242
87,0.123088,0.094703,-2.094855732,-2.3570096
88,0.136563,0.106014,-1.990969232,-2.244184118
89,0.151299,0.118513,-1.888497268,-2.13273262
90,0.167291,0.132206,-1.788020468,-2.023393967
91,0.18452,0.147092,-1.68999742,-1.916697038
92,0.202954,0.163154,-1.594775927,-1.813060739
93,0.222555,0.180371,-1.502581017,-1.712739438
94,0.243272,0.198714,-1.41357512,-1.615888674
95,0.263821,0.217264,-1.332484436,-1.526642075
96,0.283833,0.235735,-1.259369242,-1.445046986
97,0.302916,0.25381,-1.19429974,-1.371169323
98,0.320672,0.271155,-1.137336485,-1.305064666
99,0.336706,0.287424,-1.088545133,-1.246796802
100,0.353541,0.30467,-1.039755817,-1.188526055
101,0.371218,0.32295,-0.990965788,-1.130257767
102,0.389779,0.342327,-0.942175367,-1.071988858
103,0.409268,0.362867,-0.893385081,-1.013718903
104,0.429732,0.384639,-0.84459352,-0.955450047
105,0.451218,0.407717,-0.795804686,-0.897181973
106,0.473779,0.43218,-0.747014311,-0.838913111
107,0.497468,0.458111,-0.698224046,-0.780643766
108,0.522341,0.485597,-0.649434648,-0.722376217
